Fragment Length	| # of Fragments	| Weight
1086	1	659794.3
991	1	602091.3
840	1	510373.9
712	1	432626.7
671	1	407723.3
648	1	393753.1
627	1	380997.7
608	1	369457.1
588	1	357309.1
556	1	337872.3
458	1	278347.1
454	1	275917.5
430	1	261339.9
397	1	241295.7
391	1	237651.3
381	1	231577.3
374	1	227325.5
365	1	221858.9
358	1	217607.1
341	1	207281.3
320	1	194525.9
308	2	187237.1
307	2	186629.7
305	1	185414.9
304	1	184807.5
297	1	180555.7
288	1	175089.1
283	1	172052.1
281	1	170837.3
273	1	165978.1
272	1	165370.7
271	1	164763.3
267	1	162333.7
264	1	160511.5
263	1	159904.1
259	1	157474.5
257	1	156259.7
254	1	154437.5
246	4	149578.3
244	1	148363.5
240	1	145933.9
225	1	136822.9
224	2	136215.5
216	1	131356.3
214	1	130141.5
212	1	128926.7
211	1	128319.3
209	1	127104.5
206	1	125282.3
204	1	124067.5
201	1	122245.3
199	2	121030.5
198	1	120423.1
197	1	119815.7
193	1	117386.1
192	1	116778.7
188	2	114349.1
186	1	113134.3
183	2	111312.1
179	1	108882.5
178	1	108275.1
175	1	106452.9
174	1	105845.5
172	1	104630.7
171	1	104023.3
170	1	103415.9
168	1	102201.1
165	2	100378.9
164	1	99771.5
160	2	97341.9
159	1	96734.5
158	2	96127.1
157	1	95519.7
156	1	94912.3
155	2	94304.9
154	2	93697.5
153	1	93090.1
152	1	92482.7
150	1	91267.9
149	3	90660.5
148	2	90053.1
147	1	89445.7
141	3	85801.3
140	1	85193.9
139	1	84586.5
137	1	83371.7
136	3	82764.3
131	2	79727.3
128	1	77905.1
127	3	77297.7
126	2	76690.3
125	3	76082.9
124	1	75475.5
122	1	74260.7
119	2	72438.5
118	2	71831.1
117	1	71223.7
116	2	70616.3
115	4	70008.9
114	1	69401.5
113	1	68794.1
112	3	68186.7
111	3	67579.3
110	1	66971.9
109	1	66364.5
108	2	65757.1
107	3	65149.7
106	1	64542.3
105	1	63934.9
103	1	62720.1
102	2	62112.7
101	1	61505.3
100	2	60897.9
99	2	60290.5
98	1	59683.1
97	2	59075.7
96	3	58468.3
93	2	56646.1
92	3	56038.7
91	1	55431.3
90	2	54823.9
89	1	54216.5
88	1	53609.1
87	1	53001.7
86	3	52394.3
85	3	51786.9
84	2	51179.5
83	5	50572.1
81	4	49357.3
80	2	48749.9
79	1	48142.5
78	6	47535.1
77	4	46927.7
76	4	46320.3
75	5	45712.9
74	4	45105.5
73	3	44498.1
72	4	43890.7
71	2	43283.3
70	1	42675.9
69	1	42068.5
68	1	41461.1
66	3	40246.3
65	2	39638.9
64	4	39031.5
63	4	38424.1
61	4	37209.3
60	6	36601.9
59	2	35994.5
58	2	35387.1
57	2	34779.7
56	2	34172.3
55	4	33564.9
54	8	32957.5
53	3	32350.1
52	2	31742.7
51	2	31135.3
50	7	30527.9
48	4	29313.1
47	2	28705.7
46	3	28098.3
45	4	27490.9
44	2	26883.5
43	1	26276.1
42	2	25668.7
41	3	25061.3
40	1	24453.9
39	4	23846.5
38	2	23239.1
37	4	22631.7
36	6	22024.3
35	6	21416.9
34	2	20809.5
33	2	20202.1
32	5	19594.7
31	4	18987.3
30	7	18379.9
29	2	17772.5
28	4	17165.1
27	5	16557.7
26	1	15950.3
25	4	15342.9
24	5	14735.5
23	6	14128.1
22	4	13520.7
21	7	12913.3
20	8	12305.9
19	7	11698.5
18	5	11091.1
17	6	10483.7
16	3	9876.3
15	8	9268.9
14	10	8661.5
13	7	8054.1
12	8	7446.7
11	7	6839.3
10	6	6231.9
9	14	5624.5
8	6	5017.1
7	1	4409.7
6	8	3802.3
5	3	3194.9
4	3	2587.5
